,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
1,3,2,3,5,3,2,2,4,2,2,3,4,2,**,**,2,5,2,1,5,1,4,3,2,3,1,**,2,5,**,4,3,1,1,3,2,7,4,1,3,4,2,4,2,1,3,3,5,3,1,3,1,4,2,2,3,3,2,7,1,4,2,3,4,3,2,3,3,2,5,2,2,3,2,4,3
2,2,2,2,2,1,2,2,2,2,2,5,2,3,**,**,7,2,1,1,1,1,3,3,2,1,0,**,1,4,**,5,2,1,1,6,1,6,2,1,3,2,1,2,1,3,2,2,2,2,1,2,1,3,1,1,2,3,2,4,1,2,2,2,2,2,2,2,1,2,3,3,2,3,1,3,2
3,5,4,6,7,5,5,1,6,3,5,5,5,1,**,**,6,7,3,6,6,3,10,5,6,2,6,**,4,6,**,7,5,5,1,9,3,4,6,4,6,5,4,6,5,3,6,4,8,5,5,5,4,5,6,4,5,7,5,9,3,6,5,5,5,5,5,5,4,5,7,4,5,8,4,5,4
4,6,4,6,8,4,2,8,6,5,7,1,3,10,**,**,3,4,6,8,4,7,4,5,5,6,6,**,4,8,**,10,6,4,5,9,5,3,8,5,5,5,7,7,4,8,3,7,5,6,7,2,12,4,6,6,5,7,5,7,6,3,4,6,6,5,7,5,4,7,8,4,8,6,6,7,3
5,9,6,12,13,9,9,7,11,8,7,8,13,13,**,**,8,11,11,4,6,10,12,11,9,9,2,**,10,8,**,10,12,7,8,5,9,14,11,7,10,11,7,10,9,10,10,9,11,9,6,11,13,8,10,8,10,8,9,7,10,8,9,9,10,9,9,10,8,9,19,7,10,12,8,10,9
6,8,6,9,11,7,6,6,9,6,8,6,7,10,**,**,12,8,7,8,10,5,11,8,6,6,7,**,7,7,**,11,9,5,5,4,7,5,8,8,7,9,7,10,8,3,6,8,6,8,8,8,10,6,5,9,8,6,8,5,6,12,9,7,9,7,8,8,9,6,7,5,7,10,5,6,11
7,11,12,11,10,10,11,14,10,12,12,12,9,12,**,**,16,11,12,8,11,13,16,9,9,14,15,**,10,14,**,15,10,13,10,14,11,14,12,10,12,13,10,11,10,15,11,11,12,11,14,10,11,11,11,12,11,13,11,11,12,11,9,12,8,12,11,12,12,11,8,13,10,7,11,14,13
8,19,23,16,16,18,21,20,17,20,18,11,22,21,**,**,16,19,21,14,20,20,11,19,22,19,16,**,20,16,**,12,21,21,17,23,19,20,16,21,20,19,18,18,17,24,16,20,10,20,16,20,17,20,17,17,20,16,19,17,19,19,23,18,28,17,22,19,16,22,12,26,20,18,25,15,13
9,19,21,17,14,24,19,19,19,19,22,11,17,13,**,**,18,15,19,23,17,23,10,16,20,24,19,**,20,18,**,15,17,23,20,13,20,11,16,23,19,16,22,15,21,21,23,17,19,19,21,19,15,20,20,18,19,15,20,12,20,19,18,19,11,21,16,18,21,18,13,20,17,14,18,19,24
10,19,20,18,12,20,23,21,16,22,18,38,18,14,**,**,11,18,18,27,20,16,21,20,18,16,27,**,21,15,**,11,15,20,31,14,23,16,17,21,16,16,23,16,24,13,20,19,22,19,22,20,16,19,21,23,17,22,19,20,21,15,18,19,17,19,18,20,21,18,18,16,19,20,21,16,18
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Democrats And DTS Voters,100,43,57,27,23,26,24,49,51,57,6,27,8,2,0,7,28,45,18,12,28,8,27,27,27,9,2,76,20,1,9,41,32,15,9,70,14,36,51,29,32,38,37,44,18,27,72,9,91,17,27,18,38,15,28,55,14,82,13,57,27,17,82,17,82,14,84,39,51,10,21,30,18,38,23,20
