1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,8,9
Mike Pence ,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamala Harris,48,43,39,75,53,**,**,**,49,45,All,45,44,37,39,53,48,47,42,38,6,46,80,40,9,15,47,81,93,6,84,40,40,44,50,48,45,43,55,41,41,44,46,51,57,45,38,42,46,56,35,42,53,32,49,52,20,70,42,50,45,37,48,63,43,47,57,45,34,40,50,47,45,42,41,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,12,14,12,13,**,**,**,22,14,13,13,9,14,13,16,17,13,11,6,10,10,12,22,6,11,19,9,4,11,8,17,14,15,11,16,13,10,14,13,15,14,13,13,15,14,11,13,14,16,11,13,15,11,13,14,11,12,17,11,14,14,13,13,13,12,13,13,16,11,15,14,14,12,14,11,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composition of Registered Voters,48,67,12,14,4,2,1,9,34,45,100,11,22,30,10,27,28,26,9,32,41,50,23,11,23,37,18,8,38,41,22,37,50,40,37,37,27,34,49,17,33,67,8,26,92,28,24,19,29,24,28,47,27,69,26,29,35,33,12,87,19,81,11,88,28,28,49,23,25,24,18,22,37,23,20,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850 Registered Voters,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,All,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,Gender,,,,,,,,,,,Age,,,,,,,,,,,<50 / 50+,,,,,,,,,,,Race,,,,,,,,,,,Class,,,,,,,,,White X Class,Paycheck
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credibility Interval: ± ,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Male,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Female,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,18-34,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,35-49,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,50-64,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,65+,Rural,Male,Female,Northeas,Midwest,South,West,,18-49,50+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Trump ,43,48,9,33,**,**,**,34,41,41,41,46,50,48,34,35,40,46,55,86,7,48,39,87,73,34,8,4,89,4,47,42,34,37,36,42,46,32,47,42,43,40,33,37,42,49,44,43,30,52,44,33,57,34,41,70,19,39,41,41,50,39,25,43,32,43,41,52,47,35,38,39,45,37,43,39
