1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,8,9
Mike Pence ,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pete Buttigieg,44,45,40,64,50,**,**,**,45,44,All,46,44,37,41,48,46,47,42,36,8,45,77,40,9,16,47,78,87,8,81,37,40,42,51,46,44,44,50,41,44,41,47,49,48,44,39,42,44,53,35,41,52,30,44,51,20,68,43,47,44,37,46,59,43,44,52,45,34,41,50,48,46,41,43,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,13,14,23,14,**,**,**,26,17,14,16,10,16,13,21,20,14,12,9,11,13,13,24,7,12,21,14,7,12,12,18,18,18,12,20,15,11,19,13,16,17,15,19,19,15,12,14,17,20,12,15,17,13,16,18,12,14,18,13,16,16,15,17,15,15,15,14,19,12,16,15,17,15,17,9,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composition of Registered Voters,48,67,12,14,4,2,1,9,34,45,100,11,22,30,10,27,28,26,9,32,41,50,23,11,23,37,18,8,38,41,22,37,50,40,37,37,27,34,49,17,33,67,8,26,92,28,24,19,29,24,28,47,27,69,26,29,35,33,12,87,19,81,11,88,28,28,49,23,25,24,18,22,37,23,20,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850 Registered Voters,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,All,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,Gender,,,,,,,,,,,Age,,,,,,,,,,,<50 / 50+,,,,,,,,,,,Race,,,,,,,,,,,Class,,,,,,,,,White X Class,Paycheck
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credibility Interval: ± ,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Male,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Female,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,18-34,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,35-49,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,50-64,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,65+,Rural,Male,Female,Northeas,Midwest,South,West,,18-49,50+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Trump ,45,50,8,32,**,**,**,33,41,42,42,47,51,50,36,34,41,48,55,87,7,49,41,87,74,36,8,3,91,4,46,42,34,39,36,43,48,31,48,43,43,41,32,35,43,51,45,42,30,53,44,35,57,35,42,71,20,41,43,42,50,40,24,44,32,45,42,53,48,35,39,42,45,38,45,39
