1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,8,9
3850 Registered Voters,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credibility Interval: ± ,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,All,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Male,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,Female,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,18-34,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,35-49,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,50-64,Suburban,Rural,Male,Female,Northeas,Midwest,South,West,65+,18-49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Trump ,43,47,7,31,**,**,**,31,40,39,39,45,50,47,31,34,39,45,51,85,5,46,37,87,72,31,7,3,88,2,45,40,33,35,35,41,43,29,45,43,40,39,27,34,40,49,42,39,28,51,42,32,56,33,38,69,18,37,39,40,49,37,25,41,30,42,39,52,44,33,37,38,43,36,43,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Biden ,50,45,84,60,**,**,**,56,52,52,52,49,43,44,60,56,54,47,43,9,90,46,45,9,21,57,87,94,6,93,47,51,58,56,55,50,50,61,47,48,51,53,63,55,51,45,50,52,61,43,50,58,38,58,52,24,75,52,54,52,43,54,65,50,62,50,51,41,46,57,54,52,50,54,50,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,7,8,9,9,**,**,**,12,8,9,9,7,7,9,9,10,7,8,6,6,4,8,18,3,7,12,6,3,5,4,9,9,9,8,10,9,7,10,8,9,9,9,11,11,8,7,8,9,11,6,8,10,6,9,9,7,7,11,6,9,9,9,10,8,9,7,10,7,9,10,9,10,7,10,7,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composition of Registered Voters,48,67,12,14,4,2,1,9,34,45,100,11,22,30,10,27,28,26,9,32,41,50,23,11,23,37,18,8,38,41,22,37,50,40,37,37,27,34,49,17,33,67,8,26,92,28,24,19,29,24,28,47,27,69,26,29,35,33,12,87,19,81,11,88,28,28,49,23,25,24,18,22,37,23,20,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850 Registered Voters,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,All,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,Gender,,,,,,,,,,,Age,,,,,,,,,,,<50 / 50+,,,,,,,,,,,Race,,,,,,,,,,,Class,,,,,,,,,White X Class,Paycheck
