All,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval:  ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Joe Biden	,353,146,207,51,76,123,103,127,226,171,103,52,17,6,4,31,129,145,43,50,82,21,125,76,103,24,3,310,36,10,30,146,114,46,15,313,76,121,156,137,121,95,92,193,67,116,235,42,311,111,85,76,81,90,109,147,99,236,70,161,110,40,303,61,292,33,316,115,180,57,70,111,65,70,160,57
Bernie Sanders	,225,111,114,99,70,34,22,169,56,125,36,50,7,5,1,14,89,92,30,51,50,24,68,61,55,17,1,182,38,5,11,79,80,46,12,156,47,95,83,88,88,49,103,95,27,89,134,40,186,40,46,48,92,28,69,125,38,185,26,140,56,37,187,31,194,39,184,82,104,39,57,47,37,52,73,63
Elizabeth Warren	,156,53,102,41,45,34,35,86,70,109,19,16,7,5,0,8,55,72,20,32,57,25,31,50,35,14,0,137,16,2,6,35,59,55,2,137,14,48,93,50,60,45,54,71,31,40,115,9,146,37,25,23,71,25,36,95,17,135,13,103,40,14,141,23,132,33,120,49,85,22,25,60,29,28,59,40
Pete Buttigieg	,103,58,45,14,26,29,34,40,63,79,10,13,0,1,0,11,21,56,15,14,48,6,24,40,26,7,3,78,21,1,4,42,37,17,11,78,15,34,53,30,42,30,27,51,25,28,76,11,92,33,21,15,34,17,20,66,15,87,11,58,34,11,92,10,93,26,77,29,53,21,28,25,16,35,28,25
Mike Bloomberg,93,43,50,18,25,17,34,42,51,61,14,14,4,0,1,5,21,43,24,14,29,10,23,27,27,6,3,69,20,6,5,46,25,8,5,79,13,32,48,18,44,31,25,52,15,32,61,12,81,20,28,27,18,15,31,47,23,67,12,48,28,12,80,21,72,6,86,33,49,12,24,25,30,10,33,21
Andrew Yang	,43,24,19,19,16,3,5,36,7,16,15,8,2,2,0,3,15,20,4,5,9,7,13,7,12,4,5,31,4,0,5,19,9,10,4,27,6,19,18,20,9,14,14,17,12,20,23,9,34,1,10,9,24,4,13,26,7,36,6,24,13,3,39,3,40,4,39,25,15,3,9,6,9,8,14,11
Tom Steyer,33,11,22,3,10,13,7,13,20,15,6,6,1,4,0,3,11,9,6,3,4,1,7,11,11,3,0,26,6,3,1,18,6,5,9,19,3,16,14,9,16,8,16,11,6,10,22,4,29,8,5,7,12,4,15,13,8,25,4,25,3,3,30,6,27,3,30,10,20,3,5,15,6,2,11,14
Amy Klobuchar,27,12,15,3,3,4,17,6,21,24,1,2,0,0,0,3,8,15,2,8,12,3,9,6,7,2,1,18,8,0,4,14,9,0,5,18,1,8,18,12,7,8,4,13,11,5,22,2,25,4,7,9,7,4,11,12,0,27,3,12,12,6,22,3,24,1,26,5,12,10,8,4,9,3,8,7
Tulsi Gabbard,17,10,7,4,2,8,2,7,11,12,0,4,2,0,0,2,7,8,0,5,5,0,7,3,6,1,2,9,6,0,4,8,3,1,5,6,2,6,9,5,8,5,4,6,8,7,10,3,14,3,4,2,8,3,4,11,4,13,6,3,7,3,15,1,16,0,17,2,11,4,7,4,3,4,3,7
Some Other Democrat,7,3,3,1,2,1,3,3,4,7,0,0,0,0,0,0,0,6,1,0,6,0,2,3,3,0,4,3,0,2,2,1,1,0,4,1,1,4,2,1,5,1,1,4,1,2,5,0,7,3,1,2,1,4,1,2,4,2,4,1,1,1,5,3,4,0,7,1,5,0,2,3,3,0,2,1
Undecided,29,8,21,5,3,9,13,8,21,24,2,2,2,0,0,0,5,18,7,5,12,4,7,6,8,3,3,23,3,0,0,13,13,2,3,22,3,11,15,3,13,13,4,19,6,3,26,1,28,2,12,9,6,3,8,19,2,27,2,15,13,6,23,7,22,3,25,5,16,8,4,12,12,8,8,2
Total,1086,480,606,258,278,274,275,536,550,643,208,166,42,22,6,80,361,483,152,187,314,100,317,290,293,82,24,888,159,29,71,421,357,189,76,857,182,393,511,373,414,299,345,532,209,353,729,134,952,262,243,228,354,195,317,562,217,841,158,590,318,135,938,170,915,147,928,357,552,177,238,314,219,221,400,247
Composition of Likely Democratic Primary Voters,100%,44%,56%,24%,26%,25%,25%,49%,51%,59%,19%,15%,4%,2%,1%,7%,33%,44%,14%,17%,29%,9%,29%,27%,27%,8%,2%,82%,15%,3%,7%,39%,33%,17%,7%,79%,17%,36%,47%,34%,38%,28%,32%,49%,19%,33%,67%,12%,88%,24%,22%,21%,33%,18%,29%,52%,20%,77%,15%,54%,29%,12%,86%,16%,84%,14%,85%,33%,51%,16%,22%,29%,20%,20%,37%,23%
