1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Total,5000,2431,2569,1529,1277,1275,919,2806,2194,3270,589,748,234,100,59,438,1764,2109,609,1107,1438,487,1426,1346,1245,408,1572,1851,1220,572,1096,1851,847,343,1692,1682,1276,1966,1758,1882,1880,1239,1710,2403,888,1667,3276,598,4402,1350,1096,1025,1529,1059,1443,2349,1292,3405,1481,1682,1563,520,4343,884,4069,500,4414,1369,2435,1196,1163,1272,891,1072,1872,1164
,Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,5%,2%,1%,9%,35%,42%,12%,22%,29%,10%,29%,27%,25%,8%,31%,37%,24%,11%,22%,37%,17%,7%,34%,34%,26%,39%,35%,38%,38%,25%,34%,48%,18%,33%,66%,12%,88%,27%,22%,21%,31%,21%,29%,47%,26%,68%,30%,34%,31%,10%,87%,18%,81%,10%,88%,27%,49%,24%,23%,25%,18%,21%,37%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West,
Very Conservative,572,313,259,116,130,188,138,246,326,439,45,59,13,7,9,59,189,217,96,136,181,47,150,149,140,82,446,67,47,572,0,0,0,0,419,47,176,216,179,220,210,142,134,328,109,184,387,48,524,260,115,112,84,252,136,180,304,251,381,70,93,78,487,140,429,26,543,128,260,184,144,116,77,131,243,122
Conservative,1096,584,512,306,263,319,208,569,527,809,80,145,38,13,12,81,388,502,116,274,395,88,282,302,304,106,698,157,190,0,1096,0,0,0,680,122,287,466,343,380,446,270,319,589,189,374,712,110,986,387,257,223,230,301,372,402,384,645,506,204,342,105,971,220,867,56,1035,233,531,332,307,224,180,252,414,250
Moderate,1851,921,930,572,500,451,328,1072,779,1150,239,307,95,43,17,152,670,801,207,395,510,180,538,518,460,134,345,664,710,0,0,1851,0,0,484,652,449,776,626,691,698,462,661,873,316,650,1184,261,1589,429,446,398,578,312,588,904,401,1346,396,587,770,180,1628,320,1522,178,1645,518,946,387,441,505,333,374,718,425
Liberal,847,342,506,275,228,195,148,503,344,495,125,134,59,27,8,63,288,381,112,170,223,79,249,228,233,45,39,632,150,0,0,0,847,0,55,564,158,288,401,302,314,231,321,372,155,262,577,88,759,175,175,179,319,116,222,488,127,683,92,512,223,95,740,119,725,122,710,280,413,155,163,249,180,178,286,203
Very Liberal,343,153,190,127,96,62,58,223,120,204,54,60,22,3,1,34,112,128,63,63,78,61,93,81,73,32,14,276,41,0,0,0,0,343,13,247,70,110,163,125,127,92,151,133,60,102,238,41,303,64,52,52,175,43,64,225,44,291,38,243,53,38,296,42,298,90,244,134,157,52,60,97,67,62,108,106
