,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Mike Pence ,All,36,42,30,30,34,39,42,32,40,43,9,29,**,**,**,23,37,36,41,45,43,26,29,36,42,49,77,6,32,81,69,27,5,2,76,4,39,35,34,31,37,41,26,42,37,36,36,25,37,47,39,34,23,50,39,27,53,29,64,14,35,36,36,45,34,20,38,27,37,44,43,30,34,36,39
Joe Biden ,53,48,57,56,53,50,51,55,50,45,82,60,**,**,**,57,53,52,50,45,45,61,55,54,48,43,12,89,46,11,21,58,88,94,12,90,48,51,56,55,51,50,62,47,48,51,53,61,52,44,50,54,62,41,51,59,38,59,26,76,50,55,52,43,55,66,51,62,52,42,47,57,54,52,51,55
Undecided,12,10,13,14,13,12,7,14,10,12,9,11,**,**,**,19,11,12,9,11,12,13,15,10,10,8,11,5,22,8,10,15,7,4,12,6,13,14,9,14,12,9,12,11,15,14,11,14,12,9,11,12,15,9,10,14,9,12,10,10,14,9,12,12,12,14,11,11,11,13,10,14,12,12,10,13
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Registered Voters,100,50,50,26,26,28,20,52,48,67,12,14,4,2,1,9,34,45,11,22,30,10,27,28,26,9,32,41,23,11,23,37,18,8,38,41,22,37,40,37,37,27,34,49,17,33,67,8,92,28,24,19,29,24,28,47,27,69,29,35,33,12,87,19,81,11,88,28,49,23,25,24,18,22,37,23
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3850 Registered Voters,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West,
Donald Trump ,42,49,34,35,42,46,45,38,45,50,9,33,**,**,**,33,42,42,47,51,50,35,35,42,47,54,87,7,41,87,75,35,8,3,91,4,46,43,38,36,43,48,31,48,45,43,41,29,43,50,45,43,30,53,44,35,57,36,71,20,41,42,42,51,40,25,44,31,42,53,49,35,40,40,45,39
Kamala Harris,47,41,54,52,48,44,45,50,45,40,79,56,**,**,**,51,47,47,46,39,40,54,52,48,44,39,7,83,41,10,17,49,83,93,5,88,43,46,51,51,46,44,57,42,44,47,48,60,46,41,45,47,57,38,45,54,34,53,22,70,45,51,47,39,50,66,45,59,46,37,41,52,49,48,45,50
