,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Mike Pence ,All,40,47,33,36,39,42,42,38,42,46,13,36,**,**,**,29,40,40,46,47,46,30,34,39,46,55,81,10,35,84,72,32,8,6,81,8,45,40,37,35,41,45,31,46,40,42,39,33,40,49,44,40,27,53,44,31,56,33,68,18,40,39,40,47,38,24,42,33,40,47,47,33,37,38,44
Pete Buttigieg,45,40,49,44,44,43,49,44,45,40,64,50,**,**,**,45,44,46,44,37,41,48,46,47,42,36,8,77,40,9,16,47,78,87,8,81,37,42,51,46,44,44,50,41,44,41,47,48,44,39,42,44,53,35,41,52,30,51,20,68,43,47,44,37,46,59,43,52,45,34,41,50,48,46,41,46
Undecided,16,13,18,19,18,15,9,18,13,14,23,14,**,**,**,26,17,14,10,16,13,21,20,14,12,9,11,13,24,7,12,21,14,7,12,12,18,18,12,20,15,11,19,13,16,17,15,19,15,12,14,17,20,12,15,17,13,16,12,14,18,13,16,16,15,17,15,15,14,19,12,16,15,17,15,17
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Registered Voters,100,50,50,26,26,28,20,52,48,67,12,14,4,2,1,9,34,45,11,22,30,10,27,28,26,9,32,41,23,11,23,37,18,8,38,41,22,37,40,37,37,27,34,49,17,33,67,8,92,28,24,19,29,24,28,47,27,69,29,35,33,12,87,19,81,11,88,28,49,23,25,24,18,22,37,23
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3850 Registered Voters,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West,
Donald Trump ,42,49,34,35,42,45,45,39,45,50,8,32,**,**,**,33,41,42,47,51,50,36,34,41,48,55,87,7,41,87,74,36,8,3,91,4,46,42,39,36,43,48,31,48,43,43,41,32,43,51,45,42,30,53,44,35,57,35,71,20,41,43,42,50,40,24,44,32,42,53,48,35,39,42,45,38
Elizabeth Warren,49,43,56,55,50,46,46,52,46,42,81,58,**,**,**,54,50,49,46,41,42,55,54,50,44,40,7,86,43,11,17,51,87,95,5,90,45,49,52,54,48,45,58,44,48,49,49,60,48,41,47,50,59,41,46,55,35,55,22,73,48,51,49,41,51,69,47,60,48,39,43,54,52,49,47,51
