1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Very Conservative,8%,10%,7%,6%,7%,8%,12%,7%,10%,9%,**,9%,4%,**,**,5%,7%,9%,11%,8%,9%,10%,4%,9%,11%,12%,24%,1%,3%,100%,0%,0%,0%,0%,24%,1%,8%,9%,8%,6%,9%,9%,6%,10%,8%,8%,8%,7%,8%,17%,9%,6%,4%,17%,8%,5%,20%,5%,21%,3%,6%,10%,8%,12%,7%,5%,9%,7%,9%,11%,10%,7%,10%,7%,11%,4%
Conservative,20%,22%,19%,17%,18%,22%,25%,18%,23%,22%,**,17%,20%,**,**,16%,21%,21%,21%,22%,25%,11%,20%,19%,25%,22%,45%,8%,14%,0%,100%,0%,0%,0%,43%,5%,21%,23%,19%,22%,20%,20%,16%,23%,24%,21%,20%,19%,21%,30%,19%,21%,16%,26%,24%,17%,28%,18%,38%,12%,20%,20%,21%,23%,20%,8%,23%,17%,21%,26%,25%,18%,25%,18%,19%,21%
Moderate,37%,36%,38%,38%,40%,37%,32%,39%,35%,36%,**,37%,47%,**,**,31%,37%,40%,33%,35%,38%,37%,35%,42%,37%,32%,24%,34%,58%,0%,0%,100%,0%,0%,26%,39%,39%,36%,37%,33%,38%,39%,37%,38%,35%,39%,36%,39%,37%,32%,43%,39%,34%,35%,40%,37%,31%,38%,25%,34%,51%,39%,37%,40%,36%,36%,37%,34%,39%,35%,39%,39%,37%,36%,37%,38%
Liberal,20%,18%,21%,19%,20%,20%,19%,20%,20%,19%,**,19%,20%,**,**,19%,19%,19%,22%,20%,19%,19%,22%,20%,17%,21%,3%,38%,12%,0%,0%,0%,100%,0%,3%,34%,14%,19%,23%,19%,20%,19%,22%,17%,20%,17%,21%,16%,20%,16%,17%,16%,26%,11%,17%,24%,11%,23%,7%,33%,12%,20%,20%,14%,21%,27%,18%,25%,18%,13%,15%,21%,14%,22%,18%,24%
Very Liberal,9%,7%,10%,10%,10%,8%,7%,10%,8%,9%,**,9%,5%,**,**,14%,8%,7%,12%,8%,7%,16%,9%,6%,8%,13%,2%,17%,5%,0%,0%,0%,0%,100%,2%,18%,5%,8%,12%,8%,7%,11%,11%,8%,6%,9%,9%,8%,9%,5%,7%,9%,12%,5%,6%,12%,5%,11%,3%,16%,4%,10%,9%,5%,10%,18%,8%,12%,8%,5%,6%,10%,7%,10%,9%,9%
Not Sure,6%,6%,6%,9%,4%,5%,5%,7%,5%,4%,**,9%,5%,**,**,15%,9%,3%,1%,7%,2%,8%,11%,4%,2%,1%,1%,2%,9%,0%,0%,0%,0%,0%,1%,2%,13%,6%,2%,12%,5%,1%,8%,4%,7%,5%,6%,10%,6%,2%,5%,8%,8%,5%,5%,5%,6%,4%,6%,3%,7%,1%,5%,5%,6%,7%,6%,5%,5%,10%,6%,4%,7%,6%,7%,3%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
