1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
624 Democrats And DTS Voters Paying Attention To Election,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
1,3%,1%,4%,1%,4%,1%,5%,3%,3%,4%,2%,1%,2%,**,**,4%,0%,3%,6%,0%,3%,0%,3%,2%,3%,6%,**,2%,8%,**,19%,2%,1%,2%,12%,1%,2%,4%,2%,4%,1%,3%,2%,3%,2%,3%,2%,5%,3%,6%,1%,6%,2%,2%,4%,2%,2%,2%,7%,2%,4%,1%,3%,0%,3%,3%,3%,1%,3%,7%,2%,5%,1%,1%,4%,5%
2,0%,1%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,**,**,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,3%,**,0%,2%,**,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,1%,0%,0%,2%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,1%,0%,0%,1%,0%,1%,0%,0%,0%,0%,1%
3,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,**,**,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,**,0%,1%,**,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%
4,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,**,**,0%,0%,1%,0%,0%,1%,0%,0%,2%,0%,0%,**,0%,0%,**,7%,0%,0%,0%,2%,0%,0%,1%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,0%,2%,0%,0%,0%,0%,1%,0%,2%,0%,2%,0%,0%,0%,1%,2%,0%,0%,1%,1%,0%,0%,0%,1%,2%,0%,0%,0%
5,1%,2%,1%,4%,1%,1%,0%,3%,1%,1%,0%,2%,2%,**,**,5%,1%,1%,1%,1%,1%,1%,2%,2%,1%,0%,**,0%,7%,**,0%,3%,0%,0%,9%,0%,2%,1%,1%,1%,2%,2%,2%,1%,0%,1%,2%,0%,2%,1%,2%,2%,1%,3%,1%,1%,3%,1%,4%,1%,2%,1%,1%,0%,2%,1%,1%,1%,2%,0%,3%,0%,1%,3%,1%,0%
6,2%,3%,1%,2%,1%,2%,3%,2%,3%,2%,1%,1%,4%,**,**,0%,1%,4%,1%,0%,5%,0%,0%,5%,2%,1%,**,1%,8%,**,1%,5%,0%,0%,13%,0%,2%,1%,3%,1%,3%,3%,2%,2%,2%,1%,2%,3%,2%,6%,3%,0%,1%,1%,1%,3%,5%,2%,2%,1%,4%,2%,2%,4%,2%,1%,2%,1%,3%,1%,5%,1%,2%,1%,5%,1%
7,2%,2%,2%,7%,2%,1%,0%,4%,1%,2%,6%,2%,4%,**,**,5%,4%,2%,1%,4%,1%,3%,3%,2%,1%,2%,**,2%,1%,**,3%,2%,3%,1%,3%,1%,3%,2%,2%,3%,3%,1%,3%,2%,0%,3%,2%,2%,2%,1%,2%,3%,2%,1%,2%,2%,3%,2%,1%,2%,3%,3%,2%,2%,2%,1%,2%,3%,2%,0%,2%,2%,3%,2%,2%,2%
8,6%,9%,4%,13%,6%,6%,2%,9%,4%,6%,4%,7%,9%,**,**,8%,6%,5%,9%,6%,4%,2%,8%,6%,6%,4%,**,5%,11%,**,2%,8%,6%,5%,6%,5%,5%,6%,6%,6%,5%,7%,7%,7%,3%,8%,5%,9%,6%,4%,4%,8%,8%,10%,4%,6%,10%,5%,6%,6%,6%,6%,6%,13%,5%,5%,6%,6%,7%,3%,10%,4%,5%,6%,7%,6%
