,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
1,17,4,13,1,7,1,8,8,9,14,1,1,1,0,0,2,0,7,8,0,6,0,4,3,6,4,1,8,8,1,7,4,2,3,6,6,2,8,8,6,2,9,4,11,3,6,10,3,14,6,1,5,4,1,8,7,2,12,5,6,6,2,15,0,17,2,15,3,11,3,2,9,1,4,5,6
2,2,2,0,0,0,1,2,0,2,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,2,0,0,1,2,0,0,2,0,1,2,1,0,2,1,2,0,0,2,0,2,2,0,0,1,0,2,1,0,2,0,0,2,0,2,0,2,1,2,1,2,0,2,0,0,1,0,2
3,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
4,3,0,3,0,0,3,0,0,3,2,0,1,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,2,0,0,3,0,0,0,1,2,0,2,1,0,2,1,1,0,2,0,3,0,3,2,0,0,1,0,2,1,2,1,2,0,0,0,3,2,1,0,3,2,1,0,0,1,2,1,0,0
5,9,7,2,5,2,2,0,7,2,5,0,3,1,0,0,2,2,4,1,1,2,0,3,3,2,0,0,1,7,2,0,6,0,0,5,0,1,2,5,2,3,4,4,4,0,2,7,0,9,1,3,2,3,2,2,4,2,7,3,2,3,1,7,0,9,1,8,3,6,0,5,1,1,7,1,0
6,13,10,3,3,2,4,5,4,9,8,0,2,2,1,0,0,1,11,2,0,8,0,0,9,3,1,0,5,8,0,0,11,1,0,7,2,1,3,9,1,5,7,5,6,2,2,11,1,12,6,5,0,2,1,2,10,5,8,2,4,6,2,11,5,8,1,12,3,9,0,7,2,3,3,6,1
7,13,7,6,8,3,2,0,11,2,5,2,4,2,0,0,2,6,5,1,3,2,1,6,3,2,1,0,12,1,0,1,5,6,1,2,6,2,4,7,6,5,3,7,7,0,6,7,1,13,1,4,3,5,1,4,8,3,10,0,8,4,3,10,2,12,1,13,7,7,0,3,3,3,5,2,3
8,39,27,12,16,9,10,3,25,13,21,1,12,4,1,0,3,10,15,11,5,7,1,13,11,10,3,0,27,11,0,1,19,13,5,3,25,3,13,22,11,9,18,15,20,4,15,24,4,34,5,8,8,18,9,8,20,8,28,4,23,10,7,30,14,24,4,34,15,22,2,15,7,6,17,9,7
9,63,47,16,17,17,16,13,34,29,39,2,16,5,1,0,6,20,25,11,13,15,3,17,19,17,6,0,54,7,0,1,28,25,8,4,51,9,19,35,22,22,19,21,32,11,22,41,4,59,12,19,10,22,10,21,32,12,47,14,33,13,10,53,9,53,7,56,40,20,3,13,7,10,33,12,8
