1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
White,60%,60%,60%,60%,63%,58%,60%,61%,59%,100%,**,0%,0%,**,**,62%,49%,64%,70%,100%,100%,68%,57%,58%,60%,69%,71%,54%,63%,64%,66%,60%,60%,61%,73%,55%,54%,58%,65%,57%,57%,66%,58%,61%,64%,61%,60%,47%,62%,72%,46%,63%,63%,55%,54%,66%,62%,60%,60%,64%,58%,56%,62%,60%,60%,59%,61%,56%,62%,67%,62%,62%,69%,55%,59%,62%
Black or African American,4%,4%,4%,4%,4%,4%,4%,4%,4%,0%,**,0%,0%,**,**,5%,6%,2%,4%,0%,0%,3%,4%,6%,3%,2%,1%,7%,3%,2%,2%,3%,6%,5%,1%,6%,4%,4%,3%,5%,4%,3%,5%,3%,4%,4%,4%,9%,3%,5%,1%,5%,5%,4%,6%,3%,4%,4%,3%,5%,3%,4%,4%,3%,4%,4%,4%,7%,2%,2%,2%,3%,3%,5%,4%,2%
"Hispanic, Latino, or Mexican",26%,26%,26%,26%,23%,29%,26%,25%,27%,0%,**,100%,0%,**,**,24%,34%,24%,19%,0%,0%,21%,30%,26%,26%,21%,20%,29%,23%,29%,21%,26%,25%,26%,19%,28%,36%,28%,19%,31%,29%,19%,27%,26%,23%,28%,25%,38%,25%,16%,47%,20%,19%,32%,31%,22%,26%,26%,30%,22%,27%,30%,25%,29%,25%,30%,26%,26%,26%,25%,28%,25%,21%,31%,32%,14%
Asian,7%,7%,7%,7%,8%,7%,7%,7%,7%,0%,**,0%,100%,**,**,5%,7%,9%,6%,0%,0%,5%,7%,6%,10%,7%,5%,8%,8%,3%,7%,9%,7%,4%,4%,9%,4%,6%,10%,5%,7%,10%,8%,7%,5%,6%,8%,3%,8%,6%,5%,10%,9%,7%,6%,7%,5%,8%,6%,7%,8%,5%,8%,3%,8%,4%,8%,8%,8%,2%,8%,9%,5%,7%,3%,16%
Multiracial,1%,1%,2%,2%,2%,1%,1%,2%,1%,0%,**,0%,0%,**,**,2%,2%,1%,1%,0%,0%,1%,1%,2%,1%,1%,1%,1%,2%,1%,1%,2%,2%,3%,1%,2%,1%,2%,1%,1%,2%,1%,2%,1%,2%,1%,2%,2%,1%,1%,1%,2%,2%,1%,1%,2%,1%,2%,1%,2%,1%,1%,2%,2%,1%,3%,1%,2%,1%,1%,1%,2%,1%,1%,2%,2%
Some other way,1%,2%,1%,1%,1%,1%,2%,1%,2%,0%,**,0%,0%,**,**,1%,2%,0%,1%,0%,0%,1%,1%,2%,0%,0%,2%,0%,0%,1%,3%,0%,0%,0%,2%,0%,1%,1%,1%,2%,2%,0%,1%,2%,1%,0%,1%,1%,1%,1%,0%,1%,2%,1%,2%,1%,1%,0%,1%,0%,2%,3%,1%,3%,1%,1%,1%,2%,0%,3%,1%,0%,1%,1%,0%,4%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
