,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Joe Biden	,30,33,26,19,23,32,42,21,37,26,33,36,38,**,**,27,32,36,14,36,28,38,26,34,27,32,**,32,17,**,**,35,28,21,24,33,43,32,26,33,33,25,29,29,33,23,32,32,30,37,36,23,25,39,29,28,35,30,28,29,34,31,30,36,28,22,31,26,31,38,32,30,34,31,34,19
Bernie Sanders	,20,21,19,31,22,14,17,26,15,16,43,22,10,**,**,12,26,15,24,22,16,11,18,22,23,16,**,19,27,**,**,17,19,27,8,19,31,20,18,20,21,19,20,20,19,22,19,17,20,9,19,24,23,15,25,18,22,20,20,18,25,15,21,23,19,16,21,23,18,16,19,17,15,24,13,20
Elizabeth Warren	,20,17,22,21,30,16,14,26,15,25,16,12,17,**,**,15,16,20,27,19,25,25,21,16,21,20,**,21,14,**,**,16,22,28,12,23,12,15,25,12,22,24,16,23,18,25,18,17,20,24,14,20,22,17,17,22,11,21,16,24,12,26,19,10,22,18,20,21,19,19,15,23,21,18,24,20
Pete Buttigieg	,8,8,7,5,7,9,9,6,9,10,1,5,12,**,**,6,5,10,7,6,11,3,10,6,8,9,**,8,6,**,**,6,10,8,9,6,4,6,9,5,11,7,9,7,7,4,9,1,8,9,4,13,8,6,6,9,5,8,6,8,7,6,8,7,8,24,5,6,9,7,12,7,5,8,6,10
Mike Bloomberg,6,5,7,3,8,8,3,6,6,6,4,6,4,**,**,7,8,5,6,8,5,8,8,5,5,3,**,5,10,**,**,5,6,5,6,6,5,6,6,8,3,6,5,7,4,11,4,13,5,9,7,7,4,7,8,5,11,5,4,7,4,6,6,2,7,9,6,8,5,0,3,7,6,5,7,7
Andrew Yang	,4,5,3,10,2,4,1,6,3,4,1,3,13,**,**,0,3,4,6,4,3,0,3,4,5,4,**,3,7,**,**,6,3,3,0,3,0,4,5,5,2,5,6,3,3,3,4,3,4,2,3,3,6,1,1,6,1,4,3,4,4,0,5,2,4,3,4,4,5,0,8,2,1,3,6,6
Tom Steyer,4,3,5,6,3,2,5,4,4,4,1,4,1,**,**,21,3,3,2,0,5,7,7,1,2,6,**,4,1,**,**,3,3,4,9,4,0,6,3,6,3,3,5,3,2,3,4,3,4,5,5,2,3,8,4,3,4,3,4,3,5,6,3,10,3,1,4,5,3,1,3,3,2,4,3,5
Tulsi Gabbard,2,3,2,3,1,4,1,2,3,2,0,3,2,**,**,3,4,1,3,4,1,0,1,3,5,1,**,1,11,**,**,3,2,1,22,1,2,3,2,2,1,3,2,3,2,5,2,4,2,3,3,3,2,5,4,1,7,2,10,1,3,4,2,4,2,2,3,2,2,11,3,1,3,2,1,4
Amy Klobuchar,2,1,3,1,1,4,1,1,2,2,0,2,0,**,**,1,0,2,4,0,2,0,2,1,2,4,**,2,2,**,**,2,3,1,0,2,2,1,3,0,2,3,3,1,2,2,2,4,2,2,1,0,3,3,0,2,0,2,3,1,3,2,2,2,2,2,2,2,2,0,1,3,2,0,2,5
Some Other Democrat,0,0,0,0,1,0,0,1,0,0,0,0,0,**,**,0,0,0,0,0,1,0,0,1,0,1,**,0,0,**,**,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Undecided,4,3,5,1,2,7,6,2,7,4,0,7,3,**,**,9,4,3,7,0,3,7,4,6,2,5,**,4,5,**,**,6,5,2,5,4,2,7,4,7,2,4,2,4,9,2,5,4,5,0,7,5,4,0,4,6,2,5,5,5,3,4,5,5,4,4,4,4,5,7,4,5,10,4,3,3
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Likely Democratic Primary Voters,100,49,51,19,25,30,25,44,56,57,6,28,7,2,0,5,28,47,19,13,28,6,27,27,29,10,0,86,13,1,5,36,38,20,6,81,12,32,56,29,30,41,32,49,19,29,70,8,92,15,29,15,41,14,29,56,13,85,11,64,23,18,81,18,82,14,85,40,52,8,22,30,17,44,21,19
